Publications,Subscriptions,Processes,Threads,Execution Time
10000,10000,2,1,0.55563
10000,10000,2,2,0.617323
10000,10000,2,4,0.621693
10000,10000,4,1,0.432366
10000,10000,4,2,0.510563
10000,10000,4,4,0.461627
10000,10000,8,1,0.411208
10000,10000,8,2,0.471959
10000,10000,8,4,0.489694
10000,10000,16,1,0.570441
10000,10000,16,2,0.529865
10000,10000,16,4,0.580922
10000,20000,2,1,0.800748
10000,20000,2,2,1.01883
10000,20000,2,4,0.972357
10000,20000,4,1,0.54715
10000,20000,4,2,0.615105
10000,20000,4,4,0.687457
10000,20000,8,1,0.587468
10000,20000,8,2,0.61528
10000,20000,8,4,0.663241
10000,20000,16,1,0.547105
10000,20000,16,2,0.633782
10000,20000,16,4,0.72752
10000,50000,2,1,1.80638
10000,50000,2,2,2.26643
10000,50000,2,4,2.16128
10000,50000,4,1,1.11832
10000,50000,4,2,1.33072
10000,50000,4,4,1.4336
10000,50000,8,1,1.26916
10000,50000,8,2,1.24026
10000,50000,8,4,1.84191
10000,50000,16,1,1.68371
10000,50000,16,2,1.85018
10000,50000,16,4,1.83381
