Publications,Subscriptions,Processes,Threads,Execution Time
10000,10000,2,1,0.504701
10000,10000,2,2,0.542216
10000,10000,2,4,0.59229
10000,10000,4,1,0.521022
10000,10000,4,2,0.459985
10000,10000,4,4,0.491826
10000,10000,8,1,0.450274
10000,10000,8,2,0.435679
10000,10000,8,4,0.539347
10000,10000,16,1,0.578092
10000,10000,16,2,0.640534
10000,10000,16,4,0.61579
10000,20000,2,1,0.750101
10000,20000,2,2,0.897798
10000,20000,2,4,1.02589
10000,20000,4,1,0.545833
10000,20000,4,2,0.678101
10000,20000,4,4,0.642031
10000,20000,8,1,0.597612
10000,20000,8,2,0.619388
10000,20000,8,4,0.711756
10000,20000,16,1,0.645929
10000,20000,16,2,0.722522
10000,20000,16,4,0.773425
10000,50000,2,1,1.67707
10000,50000,2,2,1.98927
10000,50000,2,4,4.96631
10000,50000,4,1,1.06249
10000,50000,4,2,1.29127
10000,50000,4,4,1.2883
10000,50000,8,1,1.14797
10000,50000,8,2,1.31227
10000,50000,8,4,1.27761
10000,50000,16,1,1.08215
10000,50000,16,2,1.26089
10000,50000,16,4,1.39302
20000,10000,2,1,0.620191
20000,10000,2,2,0.594925
20000,10000,2,4,0.652887
20000,10000,4,1,0.46275
20000,10000,4,2,0.515238
20000,10000,4,4,0.579855
20000,10000,8,1,0.482574
20000,10000,8,2,0.521635
20000,10000,8,4,0.555891
20000,10000,16,1,0.534436
20000,10000,16,2,0.710379
20000,10000,16,4,0.845315
20000,20000,2,1,0.809751
20000,20000,2,2,0.985703
20000,20000,2,4,1.06694
20000,20000,4,1,0.660141
20000,20000,4,2,0.877022
20000,20000,4,4,0.893874
20000,20000,8,1,0.723857
20000,20000,8,2,0.761659
20000,20000,8,4,0.925164
20000,20000,16,1,0.73681
20000,20000,16,2,0.781481
20000,20000,16,4,0.944255
20000,50000,2,1,1.7867
20000,50000,2,2,2.33623
20000,50000,2,4,2.19031
20000,50000,4,1,1.27458
20000,50000,4,2,1.53587
20000,50000,4,4,1.42486
20000,50000,8,1,1.2171
20000,50000,8,2,1.39165
20000,50000,8,4,1.65474
20000,50000,16,1,1.23505
20000,50000,16,2,1.46655
20000,50000,16,4,1.63622
50000,10000,2,1,0.67156
50000,10000,2,2,0.798873
50000,10000,2,4,0.81788
50000,10000,4,1,0.642594
50000,10000,4,2,0.758696
50000,10000,4,4,0.75361
50000,10000,8,1,0.869526
50000,10000,8,2,0.778643
50000,10000,8,4,0.820976
50000,10000,16,1,0.698421
50000,10000,16,2,0.735818
50000,10000,16,4,0.923942
50000,20000,2,1,0.939947
50000,20000,2,2,1.26776
50000,20000,2,4,1.12229
50000,20000,4,1,0.802478
50000,20000,4,2,0.882303
50000,20000,4,4,1.21074
50000,20000,8,1,0.88542
50000,20000,8,2,1.02669
50000,20000,8,4,1.00801
50000,20000,16,1,0.97034
50000,20000,16,2,1.07171
50000,20000,16,4,1.11639
50000,50000,2,1,1.97463
50000,50000,2,2,2.30309
50000,50000,2,4,2.55277
50000,50000,4,1,1.51585
50000,50000,4,2,1.82126
50000,50000,4,4,1.71373
50000,50000,8,1,1.50368
50000,50000,8,2,1.519
50000,50000,8,4,1.79519
50000,50000,16,1,1.5213
50000,50000,16,2,1.66903
50000,50000,16,4,1.76806
