Publications,Subscriptions,Processes,Threads,Execution Time
10000,10000,2,1,0.579531
10000,10000,2,2,0.926026
10000,10000,2,4,1.15544
10000,10000,4,1,0.430439
10000,10000,4,2,0.676726
10000,10000,4,4,0.726809
10000,10000,8,1,0.396624
10000,10000,8,2,0.464462
10000,10000,8,4,0.506978
10000,10000,16,1,0.390467
10000,10000,16,2,0.408835
10000,10000,16,4,0.412124
10000,20000,2,1,0.947177
10000,20000,2,2,1.64281
10000,20000,2,4,2.16121
10000,20000,4,1,0.618513
10000,20000,4,2,1.17415
10000,20000,4,4,1.34089
10000,20000,8,1,0.574073
10000,20000,8,2,0.731876
10000,20000,8,4,0.833671
10000,20000,16,1,0.520975
10000,20000,16,2,0.588529
10000,20000,16,4,0.575011
10000,50000,2,1,2.09259
10000,50000,2,2,4.3175
10000,50000,2,4,5.34776
10000,50000,4,1,1.30623
10000,50000,4,2,2.69595
10000,50000,4,4,3.133
10000,50000,8,1,1.0844
10000,50000,8,2,1.57371
10000,50000,8,4,2.18116
10000,50000,16,1,1.16671
10000,50000,16,2,1.42363
10000,50000,16,4,1.32516
20000,10000,2,1,0.615369
20000,10000,2,2,1.09196
20000,10000,2,4,1.07928
20000,10000,4,1,0.448132
20000,10000,4,2,0.7547
20000,10000,4,4,0.82966
20000,10000,8,1,0.468702
20000,10000,8,2,0.537599
20000,10000,8,4,0.623776
20000,10000,16,1,0.474226
20000,10000,16,2,0.49738
20000,10000,16,4,0.522767
20000,20000,2,1,0.968696
20000,20000,2,2,1.63692
20000,20000,2,4,2.53772
20000,20000,4,1,0.73282
20000,20000,4,2,1.371
20000,20000,4,4,1.63286
20000,20000,8,1,0.705132
20000,20000,8,2,0.895699
20000,20000,8,4,0.989131
20000,20000,16,1,0.629595
20000,20000,16,2,0.735199
20000,20000,16,4,0.76591
20000,50000,2,1,2.13654
20000,50000,2,2,3.92894
20000,50000,2,4,5.26675
20000,50000,4,1,1.51107
20000,50000,4,2,3.19987
20000,50000,4,4,3.50603
20000,50000,8,1,1.29933
20000,50000,8,2,1.97023
20000,50000,8,4,2.2589
20000,50000,16,1,1.22956
20000,50000,16,2,1.36773
20000,50000,16,4,1.4541
50000,10000,2,1,0.676731
50000,10000,2,2,1.08794
50000,10000,2,4,1.28224
50000,10000,4,1,0.575223
50000,10000,4,2,0.855361
50000,10000,4,4,0.934466
50000,10000,8,1,0.553296
50000,10000,8,2,0.614183
50000,10000,8,4,0.571275
50000,10000,16,1,0.558147
50000,10000,16,2,0.601149
50000,10000,16,4,0.634414
50000,20000,2,1,1.22225
50000,20000,2,2,1.82123
50000,20000,2,4,2.32102
50000,20000,4,1,0.829028
50000,20000,4,2,1.4726
50000,20000,4,4,1.74781
50000,20000,8,1,0.718604
50000,20000,8,2,0.896932
50000,20000,8,4,0.983409
50000,20000,16,1,0.760892
50000,20000,16,2,0.777438
50000,20000,16,4,0.781558
50000,50000,2,1,2.15884
50000,50000,2,2,3.63234
50000,50000,2,4,5.28422
50000,50000,4,1,1.68614
50000,50000,4,2,3.41849
50000,50000,4,4,3.80278
50000,50000,8,1,1.46324
50000,50000,8,2,2.04809
50000,50000,8,4,2.37562
50000,50000,16,1,1.46176
50000,50000,16,2,1.59062
50000,50000,16,4,1.69489
